
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:56519        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56520        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56521        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56522        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56523        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56524        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56525        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56526        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56527        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56528        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56529        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56530        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56531        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56532        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56533        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56535        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56536        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56537        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56538        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56539        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56540        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56541        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56544        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56545        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56546        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56547        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56548        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56549        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56550        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56551        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56552        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56553        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56554        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56555        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56556        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56557        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56558        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56559        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56560        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56561        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56562        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56563        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56564        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56565        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56566        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56567        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:56568        127.0.0.1:49350        TIME_WAIT       0
