
Image Name                     PID Session Name        Session#    Mem Usage
bash.exe                     17484 Console                    6      1,216 K
bash.exe                     14260 Console                    6      3,256 K
language_server_windows_x    26656 Console                    6   6,37,952 K
conhost.exe                   9588 Console                    6      1,168 K
Spotify.exe                  27552 Console                    6   1,06,100 K
Spotify.exe                  14716 Console                    6      4,040 K
Antigravity.exe               3816 Console                    6     13,976 K
Antigravity.exe               8828 Console                    6     15,048 K
Spotify.exe                  13924 Console                    6     14,556 K
Spotify.exe                  22256 Console                    6     22,052 K
Spotify.exe                   4736 Console                    6      6,828 K
Spotify.exe                   5564 Console                    6     26,964 K
svchost.exe                  16072 Console                    6      7,656 K
svchost.exe                  23996 Console                    6      6,712 K
Spotify.exe                   5440 Console                    6      5,380 K
ms-teams.exe                 20684 Console                    6     15,884 K
RuntimeBroker.exe            21124 Console                    6      2,684 K
msedgewebview2.exe           17760 Console                    6     42,324 K
msedgewebview2.exe           28684 Console                    6      3,712 K
Code.exe                     22668 Console                    6     41,716 K
msedgewebview2.exe           28992 Console                    6      9,052 K
msedgewebview2.exe            8928 Console                    6     17,892 K
msedgewebview2.exe           19684 Console                    6      4,488 K
msedgewebview2.exe           11184 Console                    6     12,592 K
Code.exe                     27912 Console                    6     14,476 K
Code.exe                     19376 Console                    6      8,616 K
Code.exe                     14396 Console                    6     25,924 K
Code.exe                     26124 Console                    6     10,472 K
ms-teams.exe                 20972 Console                    6     12,756 K
svchost.exe                  10924 Services                   0      4,944 K
msedgewebview2.exe           26048 Console                    6      4,424 K
claude.exe                   30136 Console                    6     50,968 K
claude.exe                   14212 Console                    6     10,252 K
claude.exe                   17468 Console                    6     29,844 K
claude.exe                   16648 Console                    6     26,816 K
claude.exe                   14340 Console                    6     15,264 K
claude.exe                     864 Console                    6     12,204 K
claude.exe                    9828 Console                    6     65,856 K
OneDrive.exe                 16252 Console                    6     34,564 K
IGCCTray.exe                 28128 Console                    6     20,532 K
IGCC.exe                     19404 Console                    6     15,956 K
Copilot.exe                  28812 Console                    6     66,400 K
RuntimeBroker.exe            11404 Console                    6      3,760 K
PhoneExperienceHost.exe      15860 Console                    6     74,200 K
RuntimeBroker.exe            14196 Console                    6      6,204 K
chrome.exe                   16260 Console                    6   2,23,312 K
Antigravity.exe              17660 Console                    6     47,908 K
svchost.exe                  28768 Services                   0     24,200 K
ShellExperienceHost.exe      11248 Console                    6     72,804 K
RuntimeBroker.exe            14460 Console                    6     26,744 K
bash.exe                     28456 Console                    6      8,176 K
conhost.exe                   2260 Console                    6      7,628 K
bash.exe                     26448 Console                    6      6,732 K
bash.exe                     22392 Console                    6      9,192 K
bash.exe                     30068 Console                    6      5,844 K
node.exe                     27420 Console                    6     29,084 K
cmd.exe                      17964 Console                    6      5,496 K
node.exe                     30576 Console                    6     35,180 K
bash.exe                     28448 Console                    6      8,156 K
bash.exe                     20244 Console                    6      5,764 K
node.exe                     12940 Console                    6     32,384 K
cmd.exe                       8624 Console                    6      5,496 K
node.exe                     26144 Console                    6     67,028 K
esbuild.exe                  17448 Console                    6     28,980 K
conhost.exe                   1712 Console                    6      8,588 K
bash.exe                      8648 Console                    6      7,780 K
bash.exe                      2144 Console                    6     13,244 K
backgroundTaskHost.exe        8576 Console                    6     19,536 K
Antigravity.exe              30352 Console                    6   1,12,836 K
conhost.exe                  30588 Console                    6      8,564 K
bash.exe                     18088 Console                    6      7,784 K
bash.exe                     22116 Console                    6     13,072 K
svchost.exe                   9812 Services                   0     10,032 K
conhost.exe                   3916 Console                    6      8,628 K
bash.exe                     21988 Console                    6      7,784 K
bash.exe                     29072 Console                    6     13,172 K
conhost.exe                   3024 Console                    6      8,600 K
bash.exe                     24548 Console                    6      7,776 K
bash.exe                     27328 Console                    6     13,172 K
bash.exe                     18396 Console                    6     10,220 K
bash.exe                      9864 Console                    6      8,252 K
node.exe                     16016 Console                    6     50,648 K
cmd.exe                      29884 Console                    6      6,856 K
node.exe                     12104 Console                    6     49,716 K
audiodg.exe                   1112 Services                   0     23,076 K
bash.exe                      3244 Console                    6     10,176 K
bash.exe                     17572 Console                    6      8,228 K
node.exe                     11368 Console                    6     50,144 K
cmd.exe                      14520 Console                    6      6,740 K
node.exe                     21176 Console                    6     79,276 K
esbuild.exe                  19736 Console                    6     31,564 K
conhost.exe                   9092 Console                    6      8,464 K
bash.exe                     23324 Console                    6      7,704 K
bash.exe                     22024 Console                    6     13,252 K
bash.exe                     24636 Console                    6     10,052 K
cmd.exe                      27100 Console                    6      5,412 K
conhost.exe                  13584 Console                    6      8,448 K
bash.exe                     12148 Console                    6      7,704 K
bash.exe                     18792 Console                    6     13,252 K
chrome.exe                   20068 Console                    6     29,064 K
bash.exe                      2588 Console                    6     10,056 K
cmd.exe                      20772 Console                    6      5,412 K
conhost.exe                  24112 Console                    6      8,444 K
bash.exe                     15788 Console                    6      7,704 K
bash.exe                     30272 Console                    6     13,240 K
AdobeCollabSync.exe          30048 Console                    6     19,468 K
AdobeCollabSync.exe          17704 Console                    6     46,364 K
RuntimeBroker.exe             1980 Console                    6     15,304 K
bash.exe                      7792 Console                    6     10,180 K
tasklist.exe                 26868 Console                    6     11,796 K
